Service Approval Number,Service Name,Provider ID,Provider Name,Provider Management Type,Managing Jurisdiction,Service Type,Approval Date,Address Line 1,Address Line 2,Suburb/Town,Postcode,Address State,Service email,Service phone number,Provider Address,Provider Suburb,Overall Rating
SE-00002640,Bairnsdale Early Learning Centre,PR-40011040,UNITING (VICTORIA AND TASMANIA) LIMITED,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,72 Lucknow Street,,BAIRNSDALE,3875,VIC,bairnsdale.els@vt.uniting.org,351522580,L 8  505 Little Collins St,MELBOURNE,Meeting NQS
SE-00002642,Lindenow & District Kindergarten,PR-00001950,Lindenow & District Preschool Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,152 Main Road,,LINDENOW,3865,VIC,lindenow.kin@kindergarten.vic.gov.au,03 5157 1458,152 Main Road,LINDENOW,Meeting NQS
SE-00002643,Paynesville Kindergarten,PR-40011040,UNITING (VICTORIA AND TASMANIA) LIMITED,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,100 Langford Parade,,PAYNESVILLE,3880,VIC,paynesville.els@vt.uniting.org,351529600,L 8  505 Little Collins St,MELBOURNE,Exceeding NQS
SE-00002644,Ballan & District Preschool,PR-00001856,The Ballan & District Preschool Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,88 Simpson Street,,BALLAN,3342,VIC,ballan.kin@kindergarten.vic.gov.au,353681228,PO Box 262,BALLAN,Exceeding NQS
SE-00002645,Bakery Hill Kindergarten,PR-00002232,Eureka Community Kindergarten Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,82 Mair Street East,,BALLARAT,3350,VIC,bakery.hill.kin@kindergarten.vic.gov.au,03 5332 6872,PO Box 2126,BAKERY HILL,Meeting NQS
SE-00002646,Iris Ramsay Kindergarten,PR-00002232,Eureka Community Kindergarten Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,105-107 Lonsdale Street,,BALLARAT,3350,VIC,iris.ramsay.kin@kindergarten.vic.gov.au,03 5335 7590,PO Box 2126,BAKERY HILL,Meeting NQS
SE-00002647,Enid Rogers Jubilee Kindergarten,PR-40011040,UNITING (VICTORIA AND TASMANIA) LIMITED,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,2 Forest Street,,BALLARAT,3350,VIC,enidrogers.els@vt.uiniting.org,353391084,L 8  505 Little Collins St,MELBOURNE,Exceeding NQS
SE-00002648,St Alipius Kindergarten,PR-00002232,Eureka Community Kindergarten Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,78 Victoria Street,,BALLARAT,3350,VIC,alipius.kin@kindergarten.vic.gov.au,353314272,PO Box 2126,BAKERY HILL,Working Towards NQS
SE-00002649,Soldiers Hill Kindergarten,PR-00002232,Eureka Community Kindergarten Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,506 Armstrong Street North,,BALLARAT,3350,VIC,soldiers.hill.kin@kindergarten.vic.gov.au,353326668,PO Box 2126,BAKERY HILL,Meeting NQS
SE-00002651,Ballarat Fidelity Club Kindergarten,PR-00002232,Eureka Community Kindergarten Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,210 Ripon Street South,,BALLARAT,3350,VIC,fidelity.club.kin@kindergarten.vic.gov.au,03 5332 6520,PO Box 2126,BAKERY HILL,Exceeding NQS
SE-00002652,Mt Pleasant Kindergarten,PR-00002232,Eureka Community Kindergarten Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,826 Laurie Street,,BALLARAT,3350,VIC,mt.pleasant.kin@kindergarten.vic.gov.au,03 5332 3295,PO Box 2126,BAKERY HILL,Exceeding NQS
SE-00002653,Brown Hill Kindergarten,PR-00002232,Eureka Community Kindergarten Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,1 Reid Court,,BALLARAT,3350,VIC,brown.hill.kin@kindergarten.vic.gov.au,03 5332 7973,PO Box 2126,BAKERY HILL,Exceeding NQS
SE-00002654,Black Hill Kindergarten,PR-00002232,Eureka Community Kindergarten Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,602 Sherrard Street,,BLACK HILL,3350,VIC,black.hill.kin@kindergarten.vic.gov.au,03 5332 7849,PO Box 2126,BAKERY HILL,Working Towards NQS
SE-00002655,York Street Kindergarten,PR-00002404,Kardinia Childcare Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,410 York Street,,BALLARAT,3350,VIC,yorkst@kardiniachildcare.com,353334116,PO Box 5141,GEELONG NORTH,Working Towards NQS
SE-00002656,Ballarat Child Care Co-op,PR-00002170,Ballarat Child Care Co-operative Ltd,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,1007 Armstrong Street North,,BALLARAT,3350,VIC,bccc@ncable.net.au,03 5333 1601,1007 Armstrong Street North,BALLARAT,Working Towards NQS
SE-00002659,Girrabanya Children's Centre,PR-00001336,Ballarat City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,11B Steinfeld Street,,BALLARAT,3350,VIC,suealmond@Ballarat.vic.gov.au,353205150,PO Box 655,BALLARAT,Working Towards NQS
SE-00002660,Ballarat & Clarendon College Preschool,PR-00001335,Ballarat & Clarendon College,Independent schools,VIC,Centre-Based Care,2012/1/1,614 Mair Street,,BALLARAT,3350,VIC,elliott@clarendon.vic.edu.au,353308100,1425 Sturt Street,BALLARAT,Exceeding NQS
SE-00002661,Ballarat Little Learners Early Education Centre,PR-00002504,Ballarat Child Minding Centre Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,257 Victoria Street,,BALLARAT,3350,VIC,info@ballaratlittlelearners.com.au,353314912,257 Victoria Street,BALLARAT,Meeting NQS
SE-00002662,Linda Brown Preschool,PR-00002232,Eureka Community Kindergarten Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Lot 1 College Street,,WENDOUREE,3355,VIC,linda.brown.kin@kindergarten.vic.gov.au,03 5339 2062,PO Box 2126,BAKERY HILL,Exceeding NQS
SE-00002663,Alfredton Preschool,PR-40011040,UNITING (VICTORIA AND TASMANIA) LIMITED,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,6 Balyarta Street,,ALFREDTON,3350,VIC,alfredton.els@vt.uniting.org,353341222,L 8  505 Little Collins St,MELBOURNE,Working Towards NQS
SE-00002664,Rowan View Preschool,PR-00002232,Eureka Community Kindergarten Association Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,402 Forest Street,,WENDOUREE,3355,VIC,rowan.view.kin@kindergarten.vic.gov.au,03 5339 6196,PO Box 2126,BAKERY HILL,Meeting NQS
SE-00002665,Wendouree Children's Services,PR-00001336,Ballarat City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,Corner of Gilles and Hastings St,,WENDOUREE,3355,VIC,melissalloyd@ballarat.vic.gov.au,353291626,PO Box 655,BALLARAT,Meeting NQS
SE-00002667,Inverleigh Kindergarten,PR-00002235,Golden Plains Shire Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,23 Dundas Street,,INVERLEIGH,3321,VIC,inverleigh.kin@kindergarten.vic.gov.au,352651307,2 Pope St,BANNOCKBURN,Exceeding NQS
SE-00002668,Moriac Kindergarten,PR-00001691,Moriac Preschool Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,7 Clerke Court,,MORIAC,3240,VIC,moriac.kin@kindergarten.vic.gov.au,352662160,7 Clerke Court,MORIAC,Exceeding NQS
SE-00002669,Anglesea Kindergarten,PR-00001839,Surf Coast Shire Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,McMillan Street,,ANGLESEA,3230,VIC,swomersley@surfcoast.vic.gov.au,352631376,PO Box 350,TORQUAY,Exceeding NQS
SE-00002670,The Jan Juc Preschool,PR-00001839,Surf Coast Shire Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,91a Sunset Strip,,JAN JUC,3228,VIC,janjuckin@surfcoast.vic.gov.au,352612643,PO Box 350,TORQUAY,Exceeding NQS
SE-00002673,Beechworth Community Child Care Centre,PR-00001858,The Beechworth Community Child Care Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Albert Road  (Latrobe Campus),,BEECHWORTH,3747,VIC,beechworthchildcare@westnet.com.au,357282378,PO Box 98,BEECHWORTH,Meeting NQS
SE-00002674,Beechworth Kindergarten Inc.,PR-00001599,Beechworth Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,Albert Road  (Latrobe Campus),,BEECHWORTH,3747,VIC,beechworth.kin@kindergarten.vic.gov.au,03 5728 1532,PO Box 47,BEECHWORTH,Meeting NQS
SE-00002677,Leopold Kindergarten,PR-00001533,Bethany Kindergarten Services Limited,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,29 Kanimbla Avenue,,LEOPOLD,3224,VIC,leopold.kin@kindergarten.vic.gov.au,352501477,16 Ballarat Road,HAMLYN HEIGHTS,Exceeding NQS
SE-00002678,Kirralee Kindergarten,PR-00001533,Bethany Kindergarten Services Limited,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,53 Richard Street,,NEWCOMB,3219,VIC,kirralee.kin@kindergarten.vic.gov.au,352481741,16 Ballarat Road,HAMLYN HEIGHTS,Meeting NQS
SE-00002679,Ocean Grove & District Preschool,PR-00001533,Bethany Kindergarten Services Limited,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,114 The Avenue,,OCEAN GROVE,3226,VIC,ocean.grove.kin@kindergarten.vic.gov.au,352551940,16 Ballarat Road,HAMLYN HEIGHTS,Exceeding NQS
SE-00002680,Portarlington Preschool Centre,PR-00001533,Bethany Kindergarten Services Limited,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,88 Newcombe Street,,PORTARLINGTON,3223,VIC,portarlington.kin@kindergarten.vic.gov.au,352592793,16 Ballarat Road,HAMLYN HEIGHTS,Meeting NQS
SE-00002682,Allanvale Preschool,PR-00001533,Bethany Kindergarten Services Limited,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,28 Allanvale Avenue,,LEOPOLD,3224,VIC,allanvale.kin@kindergarten.vic.gov.au,352502193,16 Ballarat Road,HAMLYN HEIGHTS,Exceeding NQS
SE-00002683,Woodlands Preschool,PR-00001533,Bethany Kindergarten Services Limited,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,15 Wyatt Street,,OCEAN GROVE,3226,VIC,woodlands.kin@kindergarten.vic.gov.au,352552349,16 Ballarat Road,HAMLYN HEIGHTS,Exceeding NQS
SE-00002684,Clifton Springs Preschool,PR-40002687,Clifton Springs Preschool Incorporated,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,21a Central Road,,CLIFTON SPRINGS,3222,VIC,clifton.springs.kin@kindergarten.vic.gov.au,352513158,PO Box 499,DRYSDALE,Exceeding NQS
SE-00002687,Beacon Point Preschool,PR-00001533,Bethany Kindergarten Services Limited,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,49-55 Centaurus Avenue,,CLIFTON SPRINGS,3222,VIC,beacon.point.kin@kindergarten.vic.gov.au,352531550,16 Ballarat Road,HAMLYN HEIGHTS,Exceeding NQS
SE-00002688,Whittington Child and Family Centre,PR-00001551,Greater Geelong City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,19 Worden Court,,WHITTINGTON,3219,VIC,JO'Brien@geelongcity.vic.gov.au,352724796,PO Box 104,GEELONG,Meeting NQS
SE-00002689,Leopold World of Learning,PR-00000898,G8 Education Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,31-33 Melaluka Road,,LEOPOLD,3224,VIC,leopold@worldoflearning.com.au,352501161,PO Box 515,VARSITY LAKES,Meeting NQS
SE-00002690,Bernard Briggs Kindergarten,PR-00002242,North East Regional Preschool Association Incorporated,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,72 Church Street,,BENALLA,3672,VIC,bernard.briggs.kin@kindergarten.vic.gov.au,03 5762 1610,1 Handley Street,WANGARATTA,Exceeding NQS
SE-00002691,Munro Avenue Preschool,PR-00002242,North East Regional Preschool Association Incorporated,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,14-16 Munro Avenue,,BENALLA,3672,VIC,munro.ave.kin@kindergarten.vic.gov.au,03 5762 3053,1 Handley Street,WANGARATTA,Exceeding NQS
SE-00002692,Ride Avenue Preschool,PR-00001773,Ride Avenue Preschool Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,15 Ride Avenue,,BENALLA,3672,VIC,ride.ave.kin@kindergarten.vic.gov.au,357621350,15 Ride Avenue,BENALLA WEST,Meeting NQS
SE-00002693,Bendigo Preschool,PR-00001359,Bendigo Preschool Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,90 Myrtle Street,,BENDIGO,3550,VIC,bendigo.kin@kindergarten.vic.gov.au,354436493,90 Myrtle Street,BENDIGO,Meeting NQS
SE-00002694,Shine Bright Neale Street North Kindergarten,PR-40012078,SHINE BRIGHT EYM,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,7 Neale Street,,BENDIGO,3550,VIC,claire.murphy@shinebright.org.au,354437070,10 Merino Ct,EAST BENDIGO,Meeting NQS
SE-00002695,North Bendigo Kindergarten,PR-00002502,Young Mens Christian Association Of Ballarat Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,55 Bannister Street,,BENDIGO,3550,VIC,north.bendigo.kin@kindergarten.vic.gov.au,354432335,PO Box 321,BALLARAT,Meeting NQS
SE-00002696,Shine Bright South Bendigo Kindergarten,PR-40012078,SHINE BRIGHT EYM,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,23 Somerville Street,,BENDIGO SOUTH,3550,VIC,crystal.warne@shinebright.org.au,354433861,10 Merino Ct,EAST BENDIGO,Meeting NQS
SE-00002697,Golden Square Kindergarten,PR-00001543,Golden Square Kindergarten Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,45 Panton Street,,GOLDEN SQUARE,3555,VIC,golden.square.kin@kindergarten.vic.gov.au,03 5443 7668,PO Box 157,GOLDEN SQUARE,Exceeding NQS
SE-00002698,Shine Bright White Hills Kindergarten,PR-40012078,SHINE BRIGHT EYM,Private not for profit other organisations,VIC,Centre-Based Care,2012/1/1,62 Raglan Street,,WHITE HILLS,3550,VIC,nicole.smith@shinebright.org.au,354484571,10 Merino Ct,EAST BENDIGO,Meeting NQS
SE-00002699,Dr Harry Little Preschool,PR-00001481,Dr Harry Little Preschool Centre Inc,Private not for profit community managed,VIC,Centre-Based Care,2012/1/1,243A View Street,,BENDIGO,3550,VIC,dr.harry.little.kin@kindergarten.vic.gov.au,354438454,243a View Street,BENDIGO,Exceeding NQS
SE-00002700,Annie Galvin Early Learning Centre,PR-00001549,Greater Bendigo City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,2 Gladstone Street,,BENDIGO,3550,VIC,d.wyatt@bendigo.vic.gov.au,354412307,PO Box 733,BENDIGO,Exceeding NQS
SE-00002705,Narre Warren North Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,8 Winters Lane,,NARRE WARREN,3805,VIC,narrenorth@casey.vic.gov.au,397968259,PO Box 1000,NARRE WARREN,Meeting NQS
SE-00002706,Timbarra Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,20-26 Parkhill Drive,,BERWICK,3806,VIC,timbarra@casey.vic.gov.au,397967356,PO Box 1000,NARRE WARREN,Exceeding NQS
SE-00002707,Fountain Gate Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,12 Sylvanwood Crescent,,NARRE WARREN,3805,VIC,fountaingate@casey.vic.gov.au,397032768,PO Box 1000,NARRE WARREN,Exceeding NQS
SE-00002708,James Cook Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,55 - 63 James Cook Drive,,ENDEAVOUR HILLS,3802,VIC,jamescook@casey.vic.gov.au,397002462,PO Box 1000,NARRE WARREN,Exceeding NQS
SE-00002709,Mansfield Street Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,11 Mansfield Street,,BERWICK,3806,VIC,mansfieldstreet@casey.vic.gov.au,397073993,PO Box 1000,NARRE WARREN,Exceeding NQS
SE-00002710,Chalcot Lodge Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,26 Haverstock Hill Close,,ENDEAVOUR HILLS,3802,VIC,chalcotlodge@casey.vic.gov.au,397002678,PO Box 1000,NARRE WARREN,Meeting NQS
SE-00002711,David Collins Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,23 - 25 David Collins Drive,,ENDEAVOUR HILLS,3802,VIC,davidcollins@casey.vic.gov.au,397004803,PO Box 1000,NARRE WARREN,Exceeding NQS
SE-00002712,Hartley Ridge Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,36 Singleton Drive,,ENDEAVOUR HILLS,3802,VIC,hartleyridge@casey.vic.gov.au,397005908,PO Box 1000,NARRE WARREN,Exceeding NQS
SE-00002713,Allara Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,15-17 Gleneagles Drive,,ENDEAVOUR HILLS,3802,VIC,allara@casey.vic.gov.au,397005766,PO Box 1000,NARRE WARREN,Exceeding NQS
SE-00002714,Fleetwood Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,88-92 Fleetwood Drive,,NARRE WARREN,3805,VIC,fleetwood@casey.vic.gov.au,397048577,PO Box 1000,NARRE WARREN,Exceeding NQS
SE-00002715,Narre Kids Early Learning & Kinder,PR-40002206,Baker Street Childcare Education Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,413-415 Princes Highway,,NARRE WARREN,3805,VIC,deewr@thinkchildcare.com.au,387903239,PO Box 465,DRUMMOYNE,Meeting NQS
SE-00002716,Brentwood Park Berwick Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,26 Bemersyde Drive,,BERWICK,3806,VIC,brentwoodpark@casey.vic.gov.au,397022089,PO Box 1000,NARRE WARREN,Exceeding NQS
SE-00002718,Maramba Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,2-8 Josephine Avenue,,NARRE WARREN,3805,VIC,maramba@casey.vic.gov.au,397049305,PO Box 1000,NARRE WARREN,Exceeding NQS
SE-00002719,Talbingo Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,1A Fleetwood Drive,,NARRE WARREN,3805,VIC,talbingo@casey.vic.gov.au,397042083,PO Box 1000,NARRE WARREN,Exceeding NQS
SE-00002721,Reema Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,42 Reema Boulevard,,ENDEAVOUR HILLS,3802,VIC,reema@casey.vic.gov.au,397061956,PO Box 1000,NARRE WARREN,Exceeding NQS
SE-00002722,Oatlands Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,19-23 Rozzy Parade,,NARRE WARREN,3805,VIC,oatlands@casey.vic.gov.au,397966596,PO Box 1000,NARRE WARREN,Exceeding NQS
SE-00002723,Hallam Gardens Kindergarten,PR-00001412,Casey City Council,State/Territory and Local Government managed,VIC,Centre-Based Care,2012/1/1,26-28 Nettle Drive,,HALLAM,3803,VIC,hallamgardens@casey.vic.gov.au,397023658,PO Box 1000,NARRE WARREN,Exceeding NQS
SE-00002724,Only About Children Berwick,PR-00004699,Only About Children Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,2 Gibb Street,,BERWICK,3806,VIC,berwick@oac.edu.au,397699035,"Building A, Level 3",ST LEONARDS,Meeting NQS
SE-00002725,Berwick Twinkle Star Early Learning Centre,PR-40003504,H & D Australia PTY LTD as trustee for H & D AUS UNIT TRUST,Private for profit,VIC,Centre-Based Care,2012/1/1,10-12 Warrawong Drive,,BERWICK,3806,VIC,berwicktwinklestarelc@gmail.com,397052211,10-12 Warrawong Dr,BERWICK,Meeting NQS
SE-00002726,Narre Warren Early Learning Centre,PR-40002241,TANGIBLE EARLY LEARNING PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,102 Anaconda Road,,NARRE WARREN,3805,VIC,nwelc1@optusnet.com,397051311,26 Alvena Cres,HEATHMONT,Meeting NQS
