Service_Name,Type,Postcode,Suburb,email,phone,rating,address,location
Westdale Kindergarten,Private not for profit community managed,3875,BAIRNSDALE,westdale.kin@kindergarten.vic.gov.au,03 5152 3897,Working Towards NQS,99 Wallace Street BAIRNSDALE 3875 VIC,"(-37.8267728, 147.6022409)"
Bairnsdale Early Learning Centre,Private not for profit community managed,3875,BAIRNSDALE,bairnsdale.els@vt.uniting.org,351522580,Meeting NQS,72 Lucknow Street BAIRNSDALE 3875 VIC,"(-37.8267792, 147.654949)"
Lindenow & District Kindergarten,Private not for profit community managed,3865,LINDENOW,lindenow.kin@kindergarten.vic.gov.au,03 5157 1458,Meeting NQS,152 Main Road LINDENOW 3865 VIC,"(-37.7998445, 147.4563224)"
Paynesville Kindergarten,Private not for profit community managed,3880,PAYNESVILLE,paynesville.els@vt.uniting.org,351529600,Exceeding NQS,100 Langford Parade PAYNESVILLE 3880 VIC,"(-37.909984, 147.721958)"
Ballan & District Preschool,Private not for profit community managed,3342,BALLAN,ballan.kin@kindergarten.vic.gov.au,353681228,Exceeding NQS,88 Simpson Street BALLAN 3342 VIC,"(-37.5987634, 144.2235765)"
Bakery Hill Kindergarten,Private not for profit community managed,3350,BALLARAT,bakery.hill.kin@kindergarten.vic.gov.au,03 5332 6872,Meeting NQS,82 Mair Street East BALLARAT 3350 VIC,"(-37.5611443, 143.8671312)"
Iris Ramsay Kindergarten,Private not for profit community managed,3350,BALLARAT,iris.ramsay.kin@kindergarten.vic.gov.au,03 5335 7590,Meeting NQS,105-107 Lonsdale Street BALLARAT 3350 VIC,"(-37.5754353, 143.834582)"
Enid Rogers Jubilee Kindergarten,Private not for profit community managed,3350,BALLARAT,enidrogers.els@vt.uiniting.org,353391084,Exceeding NQS,2 Forest Street BALLARAT 3350 VIC,"(-37.5429901, 143.831038)"
St Alipius Kindergarten,Private not for profit community managed,3350,BALLARAT,alipius.kin@kindergarten.vic.gov.au,353314272,Working Towards NQS,78 Victoria Street BALLARAT 3350 VIC,"(-37.5625395, 143.8715105)"
Soldiers Hill Kindergarten,Private not for profit community managed,3350,BALLARAT,soldiers.hill.kin@kindergarten.vic.gov.au,353326668,Meeting NQS,506 Armstrong Street North BALLARAT 3350 VIC,"(-37.5503328, 143.8587201)"
Ballarat Fidelity Club Kindergarten,Private not for profit community managed,3350,BALLARAT,fidelity.club.kin@kindergarten.vic.gov.au,03 5332 6520,Exceeding NQS,210 Ripon Street South BALLARAT 3350 VIC,"(-37.5648542, 143.8405362)"
Mt Pleasant Kindergarten,Private not for profit community managed,3350,BALLARAT,mt.pleasant.kin@kindergarten.vic.gov.au,03 5332 3295,Exceeding NQS,826 Laurie Street BALLARAT 3350 VIC,"(-37.5780411, 143.854043)"
Brown Hill Kindergarten,Private not for profit community managed,3350,BALLARAT,brown.hill.kin@kindergarten.vic.gov.au,03 5332 7973,Exceeding NQS,1 Reid Court BALLARAT 3350 VIC,"(-37.5518485, 143.8949911)"
Black Hill Kindergarten,Private not for profit community managed,3350,BLACK HILL,black.hill.kin@kindergarten.vic.gov.au,03 5332 7849,Working Towards NQS,602 Sherrard Street BLACK HILL 3350 VIC,"(-37.5485742, 143.8695848)"
York Street Kindergarten,Private not for profit community managed,3350,BALLARAT,yorkst@kardiniachildcare.com,353334116,Working Towards NQS,410 York Street BALLARAT 3350 VIC,"(-37.56928610000001, 143.8803873)"
Ballarat Child Care Co-op,Private not for profit community managed,3350,BALLARAT,bccc@ncable.net.au,03 5333 1601,Working Towards NQS,1007 Armstrong Street North BALLARAT 3350 VIC,"(-37.54075, 143.859802)"
Girrabanya Children's Centre,State/Territory and Local Government managed,3350,BALLARAT,suealmond@Ballarat.vic.gov.au,353205150,Working Towards NQS,11B Steinfeld Street BALLARAT 3350 VIC,"(-37.5655772, 143.8628284)"
Ballarat & Clarendon College Preschool,Independent schools,3350,BALLARAT,elliott@clarendon.vic.edu.au,353308100,Exceeding NQS,614 Mair Street BALLARAT 3350 VIC,"(-37.5584153, 143.8510181)"
Ballarat Little Learners Early Education Centre,Private for profit,3350,BALLARAT,info@ballaratlittlelearners.com.au,353314912,Meeting NQS,257 Victoria Street BALLARAT 3350 VIC,"(-37.5581855, 143.8862829)"
Linda Brown Preschool,Private not for profit community managed,3355,WENDOUREE,linda.brown.kin@kindergarten.vic.gov.au,03 5339 2062,Exceeding NQS,Lot 1 College Street WENDOUREE 3355 VIC,"(-37.5380632, 143.8371122)"
Alfredton Preschool,Private not for profit community managed,3350,ALFREDTON,alfredton.els@vt.uniting.org,353341222,Working Towards NQS,6 Balyarta Street ALFREDTON 3350 VIC,"(-37.5525053, 143.8064435)"
Rowan View Preschool,Private not for profit community managed,3355,WENDOUREE,rowan.view.kin@kindergarten.vic.gov.au,03 5339 6196,Meeting NQS,402 Forest Street WENDOUREE 3355 VIC,"(-37.5219195, 143.83525)"
Wendouree Children's Services,State/Territory and Local Government managed,3355,WENDOUREE,melissalloyd@ballarat.vic.gov.au,353291626,Meeting NQS,Corner of Gilles and Hastings St WENDOUREE 3355 VIC,"(-37.5313225, 143.8237393)"
Inverleigh Kindergarten,State/Territory and Local Government managed,3321,INVERLEIGH,inverleigh.kin@kindergarten.vic.gov.au,352651307,Exceeding NQS,23 Dundas Street INVERLEIGH 3321 VIC,"(-38.1027985, 144.0591117)"
Moriac Kindergarten,Private not for profit community managed,3240,MORIAC,moriac.kin@kindergarten.vic.gov.au,352662160,Exceeding NQS,7 Clerke Court MORIAC 3240 VIC,"(-38.2437591, 144.169526)"
Anglesea Kindergarten,State/Territory and Local Government managed,3230,ANGLESEA,swomersley@surfcoast.vic.gov.au,352631376,Exceeding NQS,McMillan Street ANGLESEA 3230 VIC,"(-38.4113131, 144.1802142)"
The Jan Juc Preschool,State/Territory and Local Government managed,3228,JAN JUC,janjuckin@surfcoast.vic.gov.au,352612643,Exceeding NQS,91a Sunset Strip JAN JUC 3228 VIC,"(-38.3497385, 144.2930147)"
Beechworth Community Child Care Centre,Private not for profit community managed,3747,BEECHWORTH,beechworthchildcare@westnet.com.au,357282378,Meeting NQS,Albert Road  (Latrobe Campus) BEECHWORTH 3747 VIC,"(-36.3629203, 146.690902)"
Beechworth Kindergarten Inc.,Private not for profit community managed,3747,BEECHWORTH,beechworth.kin@kindergarten.vic.gov.au,03 5728 1532,Meeting NQS,Albert Road  (Latrobe Campus) BEECHWORTH 3747 VIC,"(-36.3629203, 146.690902)"
Leopold Kindergarten,Private not for profit other organisations,3224,LEOPOLD,leopold.kin@kindergarten.vic.gov.au,352501477,Exceeding NQS,29 Kanimbla Avenue LEOPOLD 3224 VIC,"(-38.1929794, 144.4664089)"
Kirralee Kindergarten,Private not for profit other organisations,3219,NEWCOMB,kirralee.kin@kindergarten.vic.gov.au,352481741,Meeting NQS,53 Richard Street NEWCOMB 3219 VIC,"(-38.1658574, 144.3997498)"
Ocean Grove & District Preschool,Private not for profit other organisations,3226,OCEAN GROVE,ocean.grove.kin@kindergarten.vic.gov.au,352551940,Exceeding NQS,114 The Avenue OCEAN GROVE 3226 VIC,"(-38.266476, 144.5279846)"
Portarlington Preschool Centre,Private not for profit other organisations,3223,PORTARLINGTON,portarlington.kin@kindergarten.vic.gov.au,352592793,Meeting NQS,88 Newcombe Street PORTARLINGTON 3223 VIC,"(-38.1152845, 144.6535247)"
Allanvale Preschool,Private not for profit other organisations,3224,LEOPOLD,allanvale.kin@kindergarten.vic.gov.au,352502193,Exceeding NQS,28 Allanvale Avenue LEOPOLD 3224 VIC,"(-38.1874252, 144.4692151)"
Woodlands Preschool,Private not for profit other organisations,3226,OCEAN GROVE,woodlands.kin@kindergarten.vic.gov.au,352552349,Exceeding NQS,15 Wyatt Street OCEAN GROVE 3226 VIC,"(-38.2608725, 144.5259256)"
Clifton Springs Preschool,Private not for profit community managed,3222,CLIFTON SPRINGS,clifton.springs.kin@kindergarten.vic.gov.au,352513158,Exceeding NQS,21a Central Road CLIFTON SPRINGS 3222 VIC,"(-38.1596797, 144.5614418)"
Beacon Point Preschool,Private not for profit other organisations,3222,CLIFTON SPRINGS,beacon.point.kin@kindergarten.vic.gov.au,352531550,Exceeding NQS,49-55 Centaurus Avenue CLIFTON SPRINGS 3222 VIC,"(-38.1486688, 144.5751889)"
Whittington Child and Family Centre,State/Territory and Local Government managed,3219,WHITTINGTON,JO'Brien@geelongcity.vic.gov.au,352724796,Meeting NQS,19 Worden Court WHITTINGTON 3219 VIC,"(-38.1785034, 144.3946966)"
Leopold World of Learning,Private for profit,3224,LEOPOLD,leopold@worldoflearning.com.au,352501161,Meeting NQS,31-33 Melaluka Road LEOPOLD 3224 VIC,"(-38.1787352, 144.4573839)"
Bernard Briggs Kindergarten,Private not for profit community managed,3672,BENALLA,bernard.briggs.kin@kindergarten.vic.gov.au,03 5762 1610,Exceeding NQS,72 Church Street BENALLA 3672 VIC,"(-36.5485025, 145.9890504)"
Munro Avenue Preschool,Private not for profit community managed,3672,BENALLA,munro.ave.kin@kindergarten.vic.gov.au,03 5762 3053,Exceeding NQS,14-16 Munro Avenue BENALLA 3672 VIC,"(-36.558612, 145.9761538)"
Ride Avenue Preschool,Private not for profit community managed,3672,BENALLA,ride.ave.kin@kindergarten.vic.gov.au,357621350,Meeting NQS,15 Ride Avenue BENALLA 3672 VIC,"(-36.555333, 145.972183)"
Bendigo Preschool,Private not for profit community managed,3550,BENDIGO,bendigo.kin@kindergarten.vic.gov.au,354436493,Meeting NQS,90 Myrtle Street BENDIGO 3550 VIC,"(-36.7638301, 144.2714706)"
Shine Bright Neale Street North Kindergarten,Private not for profit other organisations,3550,BENDIGO,claire.murphy@shinebright.org.au,354437070,Meeting NQS,7 Neale Street BENDIGO 3550 VIC,"(-36.7584994, 144.2941844)"
North Bendigo Kindergarten,Private not for profit community managed,3550,BENDIGO,north.bendigo.kin@kindergarten.vic.gov.au,354432335,Meeting NQS,55 Bannister Street BENDIGO 3550 VIC,"(-36.7420195, 144.2827084)"
Shine Bright South Bendigo Kindergarten,Private not for profit other organisations,3550,BENDIGO SOUTH,crystal.warne@shinebright.org.au,354433861,Meeting NQS,23 Somerville Street BENDIGO SOUTH 3550 VIC,"(-36.7726691, 144.2910477)"
Golden Square Kindergarten,Private not for profit community managed,3555,GOLDEN SQUARE,golden.square.kin@kindergarten.vic.gov.au,03 5443 7668,Exceeding NQS,45 Panton Street GOLDEN SQUARE 3555 VIC,"(-36.7741353, 144.2591395)"
Shine Bright White Hills Kindergarten,Private not for profit other organisations,3550,WHITE HILLS,nicole.smith@shinebright.org.au,354484571,Meeting NQS,62 Raglan Street WHITE HILLS 3550 VIC,"(-36.7264934, 144.3075245)"
Dr Harry Little Preschool,Private not for profit community managed,3550,BENDIGO,dr.harry.little.kin@kindergarten.vic.gov.au,354438454,Exceeding NQS,243A View Street BENDIGO 3550 VIC,"(-36.7546522, 144.273287)"
Annie Galvin Early Learning Centre,State/Territory and Local Government managed,3550,BENDIGO,d.wyatt@bendigo.vic.gov.au,354412307,Exceeding NQS,2 Gladstone Street BENDIGO 3550 VIC,"(-36.7661083, 144.2838989)"
Narre Warren North Kindergarten,State/Territory and Local Government managed,3805,NARRE WARREN,narrenorth@casey.vic.gov.au,397968259,Meeting NQS,8 Winters Lane NARRE WARREN 3805 VIC,"(-37.9795387, 145.3162729)"
Timbarra Kindergarten,State/Territory and Local Government managed,3806,BERWICK,timbarra@casey.vic.gov.au,397967356,Exceeding NQS,20-26 Parkhill Drive BERWICK 3806 VIC,"(-38.02598, 145.325519)"
Fountain Gate Kindergarten,State/Territory and Local Government managed,3805,NARRE WARREN,fountaingate@casey.vic.gov.au,397032768,Exceeding NQS,12 Sylvanwood Crescent NARRE WARREN 3805 VIC,"(-38.0075996, 145.2940258)"
James Cook Kindergarten,State/Territory and Local Government managed,3802,ENDEAVOUR HILLS,jamescook@casey.vic.gov.au,397002462,Exceeding NQS,55 - 63 James Cook Drive ENDEAVOUR HILLS 3802 VIC,"(-37.9796562, 145.2456227)"
Mansfield Street Kindergarten,State/Territory and Local Government managed,3806,BERWICK,mansfieldstreet@casey.vic.gov.au,397073993,Exceeding NQS,11 Mansfield Street BERWICK 3806 VIC,"(-38.0329126, 145.3401351)"
Chalcot Lodge Kindergarten,State/Territory and Local Government managed,3802,ENDEAVOUR HILLS,chalcotlodge@casey.vic.gov.au,397002678,Meeting NQS,26 Haverstock Hill Close ENDEAVOUR HILLS 3802 VIC,"(-37.970072, 145.2489474)"
David Collins Kindergarten,State/Territory and Local Government managed,3802,ENDEAVOUR HILLS,davidcollins@casey.vic.gov.au,397004803,Exceeding NQS,23 - 25 David Collins Drive ENDEAVOUR HILLS 3802 VIC,"(-37.98997, 145.264734)"
Hartley Ridge Kindergarten,State/Territory and Local Government managed,3802,ENDEAVOUR HILLS,hartleyridge@casey.vic.gov.au,397005908,Exceeding NQS,36 Singleton Drive ENDEAVOUR HILLS 3802 VIC,"(-37.981089, 145.269988)"
Allara Kindergarten,State/Territory and Local Government managed,3802,ENDEAVOUR HILLS,allara@casey.vic.gov.au,397005766,Exceeding NQS,15-17 Gleneagles Drive ENDEAVOUR HILLS 3802 VIC,"(-37.9665123, 145.2653556)"
Fleetwood Kindergarten,State/Territory and Local Government managed,3805,NARRE WARREN,fleetwood@casey.vic.gov.au,397048577,Exceeding NQS,88-92 Fleetwood Drive NARRE WARREN 3805 VIC,"(-38.039197, 145.318974)"
Narre Kids Early Learning & Kinder,Private for profit,3805,NARRE WARREN,deewr@thinkchildcare.com.au,387903239,Meeting NQS,413-415 Princes Highway NARRE WARREN 3805 VIC,"(-38.0218725, 145.299682)"
Brentwood Park Berwick Kindergarten,State/Territory and Local Government managed,3806,BERWICK,brentwoodpark@casey.vic.gov.au,397022089,Exceeding NQS,26 Bemersyde Drive BERWICK 3806 VIC,"(-38.0514341, 145.3469929)"
Maramba Kindergarten,State/Territory and Local Government managed,3805,NARRE WARREN,maramba@casey.vic.gov.au,397049305,Exceeding NQS,2-8 Josephine Avenue NARRE WARREN 3805 VIC,"(-38.00405, 145.302722)"
Talbingo Kindergarten,State/Territory and Local Government managed,3805,NARRE WARREN,talbingo@casey.vic.gov.au,397042083,Exceeding NQS,1A Fleetwood Drive NARRE WARREN 3805 VIC,"(-38.0390237, 145.3051174)"
Reema Kindergarten,State/Territory and Local Government managed,3802,ENDEAVOUR HILLS,reema@casey.vic.gov.au,397061956,Exceeding NQS,42 Reema Boulevard ENDEAVOUR HILLS 3802 VIC,"(-37.9718013, 145.2732457)"
Oatlands Kindergarten,State/Territory and Local Government managed,3805,NARRE WARREN,oatlands@casey.vic.gov.au,397966596,Exceeding NQS,19-23 Rozzy Parade NARRE WARREN 3805 VIC,"(-38.00581, 145.3157662)"
Hallam Gardens Kindergarten,State/Territory and Local Government managed,3803,HALLAM,hallamgardens@casey.vic.gov.au,397023658,Exceeding NQS,26-28 Nettle Drive HALLAM 3803 VIC,"(-38.0024477, 145.2816382)"
Only About Children Berwick,Private for profit,3806,BERWICK,berwick@oac.edu.au,397699035,Meeting NQS,2 Gibb Street BERWICK 3806 VIC,"(-38.0348117, 145.3436653)"
Berwick Twinkle Star Early Learning Centre,Private for profit,3806,BERWICK,berwicktwinklestarelc@gmail.com,397052211,Meeting NQS,10-12 Warrawong Drive BERWICK 3806 VIC,"(-38.017235, 145.324595)"
Narre Warren Early Learning Centre,Private for profit,3805,NARRE WARREN,nwelc1@optusnet.com,397051311,Meeting NQS,102 Anaconda Road NARRE WARREN 3805 VIC,"(-38.0015424, 145.3047808)"
St Margaret's School Pre-prep,Independent schools,3806,BERWICK,info@stmargarets.vic.edu.au,03 9703 8102,Exceeding NQS,27-47 Gloucester Avenue BERWICK 3806 VIC,"(-38.0356891, 145.347195)"
Haileybury Berwick College,Independent schools,3806,BERWICK,emily.baxter@haileybury.vic.edu.au,399046198,Exceeding NQS,138 High Street BERWICK 3806 VIC,"(-38.0432476, 145.3638133)"
Beaconsfield Kindergarten,Private not for profit community managed,3807,BEACONSFIELD,admin@beaconsfieldkinder.com.au,397071144,Exceeding NQS,11-17 Wood Street BEACONSFIELD 3807 VIC,"(-38.0457699, 145.3673174)"
Gembrook Preschool,Private not for profit community managed,3783,GEMBROOK,gembrook.kin@kindergarten.vic.gov.au,359681320,Meeting NQS,19 Main Street GEMBROOK 3783 VIC,"(-37.95151, 145.541762)"
Nar Nar Goon Kindergarten,Private not for profit community managed,3812,NAR NAR GOON,nar.nar.goon.kin@kindergarten.vic.gov.au,359425287,Exceeding NQS,13 Main Street NAR NAR GOON 3812 VIC,"(-38.0826968, 145.5697272)"
Pakenham Kindergarten,Private not for profit community managed,3810,PAKENHAM,pakenham.kin@kindergarten.vic.gov.au,359411319,Exceeding NQS,27 Main Street PAKENHAM 3810 VIC,"(-38.075151, 145.478239)"
Bunyip Kindergarten,Private not for profit community managed,3815,BUNYIP,bunyip.kin@kindergarten.vic.gov.au,356295452,Exceeding NQS,29 Princess Street BUNYIP 3815 VIC,"(-38.0954173, 145.7198977)"
Garfield Kindergarten,Private not for profit community managed,3814,GARFIELD,garfield.kin@kindergarten.vic.gov.au,356292208,Meeting NQS,29-31 Garfield Road GARFIELD 3814 VIC,"(-38.08725, 145.67476)"
Upper Beaconsfield Kindergarten,Private not for profit community managed,3808,BEACONSFIELD UPPER,upper.beaconsfield.kin@kindergarten.vic.gov.au,359443822,Exceeding NQS,36 Stoney Creek Road BEACONSFIELD UPPER 3808 VIC,"(-37.9966611, 145.4151069)"
Cockatoo Kinder,Private not for profit community managed,3781,COCKATOO,bailey.rd.kin@kindergarten.vic.gov.au,359689105,Meeting NQS,23 Bailey Road COCKATOO 3781 VIC,"(-37.9349636, 145.4840751)"
Upper Beaconsfield Community Early Learning Centre,Private not for profit community managed,3808,BEACONSFIELD UPPER,elc@ubcc.org.au,03 5944 3484,Meeting NQS,Salisbury Road BEACONSFIELD UPPER 3808 VIC,"(-38.0129446, 145.4269137)"
Cockatoo Community Childcare Centre,Private not for profit community managed,3781,COCKATOO,cockatoo.community.cc@kindergarten.vic.gov.au,359688932,Meeting NQS,75-77 Pakenham Road COCKATOO 3781 VIC,"(-37.939958, 145.492522)"
Little Saints Early Learning Centre,Private for profit,3810,PAKENHAM,kate.nye@littlesaintselc.com.au,359402533,Meeting NQS,37 Princes Highway PAKENHAM 3810 VIC,"(-38.0722585, 145.4827116)"
Officer Child Care Centre,Private for profit,3809,OFFICER,officercc@mayfieldchildcare.com.au,359431900,Meeting NQS,454 Princes Highway OFFICER 3809 VIC,"(-38.0613957, 145.4125985)"
Lang Lang Preschool,Private not for profit community managed,3984,LANG LANG,lang.lang.kin@kindergarten.vic.gov.au,359975353,Meeting NQS,3 Whitstable Street LANG LANG 3984 VIC,"(-38.265026, 145.562345)"
St Peter's Anglican Kindergarten,Private not for profit community managed,3128,BOX HILL,st.peters.anglican.kin@kindergarten.vic.gov.au,398908457,Meeting NQS,33 Bank Street BOX HILL 3128 VIC,"(-37.8196457, 145.1272805)"
Woodhouse Grove Kindergarten,Private not for profit community managed,3129,BOX HILL NORTH,woodhouse.grove.kin@kindergarten.vic.gov.au,03 9898 1994,Exceeding NQS,112 Woodhouse Grove BOX HILL NORTH 3129 VIC,"(-37.8023517, 145.1292841)"
Friend Street Kindergarten,Private not for profit community managed,3129,MONT ALBERT NORTH,friend.st.kin@kindergarten.vic.gov.au,398576583,Exceeding NQS,5 Friend Street MONT ALBERT NORTH 3129 VIC,"(-37.799995, 145.105518)"
Parkside Preschool,Private not for profit community managed,3129,BOX HILL NORTH,parkside.kin@kindergarten.vic.gov.au,398908979,Exceeding NQS,524 Elgar Road BOX HILL NORTH 3129 VIC,"(-37.8097556, 145.1166555)"
Box Hill South Preschool,Private not for profit community managed,3128,BOX HILL SOUTH,box.hill.south.kin@kindergarten.vic.gov.au,03 9808 1329,Meeting NQS,Rotary Court BOX HILL SOUTH 3128 VIC,"(-37.8388978, 145.1199308)"
Box Hill North Primary Kindergarten,State/Territory government schools,3129,BOX HILL NORTH,box.hill.north.ps@edumail.vic.gov.au,03 9897 1265,Meeting NQS,Elizabeth Street BOX HILL NORTH 3129 VIC,"(-37.8005392, 145.1235523)"
Wattle Hill Kindergarten,Private not for profit community managed,3125,BURWOOD,wattle.hill.kin@kindergarten.vic.gov.au,398088848,Exceeding NQS,19 Livingstone Close BURWOOD 3125 VIC,"(-37.8423932, 145.1086908)"
St Scholastica's Kindergarten,Private not for profit community managed,3125,BURWOOD,st.scholasticas.kin@kindergarten.vic.gov.au,398089724,Meeting NQS,13 Pheasant Street BURWOOD 3125 VIC,"(-37.85273240000001, 145.1253623)"
St Augustine’s Anglican Kindergarten,Private not for profit community managed,3129,MONT ALBERT NORTH,st.augustines.anglican.kin@kindergarten.vic.gov.au,03 9898 4911,Exceeding NQS,24 Rostrevor Parade MONT ALBERT NORTH 3129 VIC,"(-37.810066, 145.1068241)"
Florence Road Preschool,Private not for profit community managed,3127,SURREY HILLS,florence.rd.kin@kindergarten.vic.gov.au,03 9898 3471,Meeting NQS,2 Florence Road SURREY HILLS 3127 VIC,"(-37.8268157, 145.102603)"
Deakin & Community Childcare Co-operative,Private not for profit community managed,3125,BURWOOD,daccc@optusnet.com.au,398880202,Exceeding NQS,221 Burwood Highway BURWOOD 3125 VIC,"(-37.8467735, 145.115108)"
Surrey Hills Baptist Children's Centre,Private not for profit other organisations,3127,SURREY HILLS,info@shbcc.org.au,03 9898 8589,Exceeding NQS,277-281 Elgar Road SURREY HILLS 3127 VIC,"(-37.8316214, 145.1120557)"
Guardian Childcare & Education Box Hill,Private for profit,3128,BOX HILL,BoxHill@guardian.edu.au,398904257,Exceeding NQS,24 Sweetland Road BOX HILL 3128 VIC,"(-37.8247752, 145.1351524)"
Surrey Hills Child Care Centre,Private for profit,3127,SURREY HILLS,surreyhills.cc@bigpond.com,03 9898 1368,Working Towards NQS,1A Beatrice Avenue SURREY HILLS 3127 VIC,"(-37.8258585, 145.1004081)"
Wattle Park Children's Services Centre,State/Territory and Local Government managed,3125,BURWOOD,wattle.cc@whitehorse.vic.gov.au,398080361,Meeting NQS,25 Livingstone Close BURWOOD 3125 VIC,"(-37.8424859, 145.1083244)"
Papilio Early Learning Box Hill North,Private for profit,3129,BOX HILL NORTH,compliance@affinityeducation.com.au,398981566,Meeting NQS,152 Dorking Road BOX HILL NORTH 3129 VIC,"(-37.8057645, 145.1335742)"
Presbyterian Ladies College Early Learning,Independent schools,3125,BURWOOD,earlylearning@plc.vic.edu.au,398080077,Exceeding NQS,141 Burwood Highway BURWOOD 3125 VIC,"(-37.8487397, 145.1068938)"
Watts Street Children's Centre,Private not for profit community managed,3128,BOX HILL,watts@ecms.org.au,398997411,Exceeding NQS,10-12 Watts Street BOX HILL 3128 VIC,"(-37.81723119999999, 145.1255906)"
Brighton Beach Early Learning Centre,Private for profit,3186,BRIGHTON,mail@brightonbeachelc.com.au,395218050,Meeting NQS,21 New Street BRIGHTON 3186 VIC,"(-37.92950400000001, 144.993356)"
Wilson Street Kindergarten,Private not for profit community managed,3186,BRIGHTON,wsk@wilsonstreetkinder.com.au,395928095,Exceeding NQS,11 Wilson Street BRIGHTON 3186 VIC,"(-37.9098607, 144.9985136)"
